1yrNetSpendNormalized,2yrNetSpend,SalaryDeltaNormalized,improved
-0.052418914491645735,-0.27226219357543113,0.00379306759855848,no
-0.015684612123781264,-0.12194281781305916,0.04723074183976261,no
-0.016278229448961155,-0.007108198044744017,-0.015701649503161698,no
-0.17243920412675018,-0.4639559136383183,0.2407875534266765,no
-0.2510862818125388,-0.5031785106767575,0.012011061452513967,yes
-0.09580279813457696,-0.43853143381673587,0.24191797201865423,no
-0.28242715530189244,-0.44299357057047795,0.13429294082307,no
-0.12579288393770605,-0.2875329843281132,-0.0026680572922587248,no
-0.5175757575757576,-0.8116992241368972,-0.741306803030303,no
-0.032815964523281595,-0.18871796897762458,-0.014736110864745012,yes
-0.20714285714285716,-0.07477662646509259,-0.006674925170068027,no
-0.4948314606741573,-0.4767319131628451,0.12562059325842698,yes
-0.034362139917695475,-0.20216433771989328,0.008366097393689986,no
0.043700416834745195,0.19949391587872223,0.09374912733629151,yes
-0.26507515473032717,-0.5004060562415309,0.08018593280282936,no
-0.16982069239556946,-0.39609000806885863,0.05176410867729598,yes
-0.1893911439114391,-0.24181005840308484,0.008326164206642067,yes
-0.12917933130699089,-0.14486394343077214,-0.04732137537993921,yes
-0.03480413572156692,-0.05108236517052807,-0.008347818552497452,yes
-0.22326314407039355,-0.3957023481971437,0.1101636518846036,no
-0.08096385542168674,-0.22985318902184684,0.05134872610441767,yes
-0.1191401783672536,-0.21494297650183056,-0.2194581797393094,no
0.02133208034770351,-0.26109507495418893,-0.13745345471631623,yes
-0.31379011274934954,-0.4395829966870556,0.0223431986123157,yes
-0.25919653777401447,-0.776772295349772,0.28752543230783706,yes
0.06123222748815166,0.028416262964870063,0.0656486672985782,no
-0.20629032258064517,-0.41343317972350235,0.0810066129032258,no
-0.13734848484848486,-0.6321799455226421,0.002474780303030303,no
-0.056015276893698285,-0.09037741681139376,-0.01800169318905156,no
-0.05738986480272234,-0.013689447967977143,0.044540301664673966,yes
-0.07031027611727868,-0.6035219549493955,0.12315822943353259,no
-0.08871753246753247,-0.3537926871978596,-0.02004590909090909,yes
-0.15564914850759934,-0.3254698409031688,0.0040307819080754445,no
0.013760806916426513,-0.1756303369950126,0.1164071325648415,no
-0.23737024221453287,-0.36654957352152373,0.0720706366782007,no
0.08422917897223862,0.04942504325067171,-0.5855697046662729,yes
-0.07452643483177834,-0.2977895789021719,0.07784409273395533,no
-0.23988583337108685,-0.3208496887927736,-0.00680731210075658,yes
-0.2014950819672131,-0.2832028478855053,0.15546912,no
-0.11092851273623665,-0.08959643238853314,-0.1262874018077239,yes
0.012653061224489797,-0.30113705152485976,-0.06996016909620992,no
-0.22391089108910892,-0.4831074288631234,-0.02871401089108911,yes
-0.1799882283696292,-0.44745717246900807,0.20871148440258977,yes
0.12491582491582491,-0.08137449766482026,0.05707876430976431,no
-0.11722525331254871,-0.25457373816103357,0.01703216939464796,no
0.0466493443712611,-0.009365932522437184,0.06198512901081636,no
-0.020732883317261332,-0.07812274811998367,0.013038052073288332,no
-0.2788775510204082,-0.34918782713768687,0.006573775510204082,yes
-0.31003314251280506,-0.39875067498033756,0.138442530882796,no
0.02770529547198772,-0.12794385303561162,0.06541580583269378,no
-0.10780669144981413,-0.09404588453338761,-0.053956836355359986,yes
-0.23032258064516128,-0.46769282285969416,0.05061202903225807,yes
-0.3961924363262156,-0.86582806385658,0.026701358374067403,no
-0.1267427122940431,-0.04251353332180448,0.08011998986058301,no
-0.10730769230769231,-0.34719352567877915,0.12416053931623931,yes
-0.039792387543252594,-0.2412874695104657,-0.058980384083044984,yes
-0.13447363447363447,-0.6087782077881088,0.15830555282555284,yes
-0.27915605674790833,-0.26650299552341855,-0.6490259803564933,no
-0.0433079935498733,-0.26721888463898225,-0.19396587652614605,yes
-0.1204102564102564,-0.3003984847798856,-0.053513886324786326,yes
-0.017491666666666666,-0.13886673868510338,0.13289697583333332,no
-0.06538365095285857,0.05953217396296634,0.14574247993981945,no
-0.035561005518087066,-0.1527862588306358,-0.03157626813815655,yes
-0.11836935166994106,-0.07172000729867996,0.11233861165684349,yes
0.00595370576452259,-0.014779177552738741,0.013698112619630536,no
0.09092429945629443,-0.18795325156411374,-7.649519029694688e-05,yes
-0.24272980501392757,-0.5527629475267326,0.09860168802228413,yes
-0.1763350613017362,-0.28414175275155035,-0.04882766230560356,no
-0.07454625615401572,-0.4707386924802313,0.0066461165405246525,no
-0.26516585317262675,-0.39190856546666986,0.026994815220639505,yes
-0.0628508664876739,-0.5159482116204173,0.09302597632413961,yes
0.1672735000354183,0.05996580772772599,-0.0881970985336828,no
0.25236359795066815,0.21257121040741556,-0.0007290973432630857,no
-0.07894423968612531,-0.21341787415975977,0.02232477707763643,no
-0.03843347117489662,-0.475601612767817,0.060140491364631475,yes
0.0376,-0.24155605674790834,0.112336747,yes
-0.09411428571428572,-0.137422279264159,0.10263273619047619,no
-0.145595690747782,-0.16308735741444866,-0.4847901774397972,no
-0.16227758007117438,-0.28064693174111544,-0.13931247924080664,yes
-0.1065939514129896,-0.100640245648467,0.025948035448686166,no
-0.1533066132264529,-0.06238231377015846,0.05071434368737475,no
-0.211034255599473,-0.4537640606134006,-0.03664806653491436,no
-0.2890768894577467,-0.6000706167604868,0.03915665095370399,yes
-0.10795316915623739,-0.2842882304579736,0.0699055777149778,yes
-0.2288832133735779,-0.9043255957646007,0.039854748084513586,yes
0.009070294784580499,-0.25609555838804626,-0.13090597883597885,no
-0.2137314439946019,-0.2765823104822758,0.1805195209176788,yes
-0.012380706732009285,0.15489279330340902,-0.2974888522053134,yes
-0.13683489827856024,0.11552869967210791,0.0704706455399061,yes
-0.011026243634939287,0.026573756365060715,-0.1042257892675284,yes
-0.06971587686278555,-0.16383016257707128,-0.040225200845665963,no
-0.1051923076923077,-0.33730506777881675,-0.03277795576923077,yes
-0.08369586390494124,-0.22929155465272325,0.22283644049087722,yes
-0.14869786567456433,-0.19424936914941468,0.1758243430585471,yes
-0.4184184184184184,-0.938981188981189,-0.03522203536870203,no
-0.038896746817538894,-0.20117432688871328,0.02794281117397454,no
-0.13816631130063967,-0.24476026271362927,0.051861337597725654,yes
-0.02773962376828904,-0.23877387936776204,-0.04174751567632129,yes
-0.01863202309571397,-0.30770891255346067,0.013722820341994226,no
-0.22184161161406085,-0.3297947807702982,-0.09787087513253405,yes
-0.005740645822655049,-0.23462385919623294,0.03999188928754485,no
0.011949685534591196,0.021019980319171697,0.04151882389937107,yes
-0.06456293072179906,-0.27829437471640095,-1.2386152266956838,no
0.041104428649535264,0.02872372191752598,0.12406374193548388,yes
-0.31588267847260654,-0.45271757675116675,-0.18131360634569268,yes
0.013568521031207599,-0.1418016562367799,0.1248523473541384,no
-0.19802972115545167,-0.7347789861701514,0.012229049924862248,no
-0.12078625011869717,-0.13181249375363646,-0.010575166650840377,no
-0.06676460985961476,-0.13648048672240032,0.017980174121231908,yes
-0.0451,-0.1502923076923077,0.017240869,yes
-0.14418513943964117,-0.22788100334458242,0.042637575245400766,no
-0.4157374960178401,-0.5644353616924045,0.034773160242115325,yes
-0.011119212541013489,-0.05001595935855238,-0.026788629238060517,no
-0.08889533618626243,-0.2270616474869021,-0.06628887502719953,yes
-0.19799943646097493,-0.22573906022926396,0.013074158918005072,no
-0.015386656055179733,-0.0340186791508937,0.008432680726886854,yes
-0.1626,-0.3844416116140609,0.008196213,yes
-0.0905504857226965,-0.09629113154535154,0.04477463055637327,yes
-0.12297952586206896,-0.11102984032747777,-0.04731491109913793,yes
0.1560966402416006,0.09153370951980155,0.002843708946772367,yes
-0.5561083471531233,-0.5150039185035881,0.03154157997889341,no
-0.1273796625909302,-0.44326234106353674,-0.02322819068255688,no
0.04969139537698172,0.06325991640818932,-0.0818190366694905,no
-0.14309720411415328,-0.2638834542328504,-0.08942409387222947,no
0.06602812308946403,-0.0007364867701507294,-0.19496963113918891,no
-0.08018722670444048,-0.12528722670444048,-0.013428781178789186,no
0.006234782608695652,-0.13795035683094553,-0.05179401391304348,no
-0.2590740194632852,-0.6748115154811253,0.2353486511353583,yes
-0.31562038404726733,-0.4697257762041301,0.126540079394387,yes
-0.35149422550303605,-0.4403895616892985,-0.15687274199309442,no
-0.2174549376059159,-0.021232146312702066,0.13209346017562779,no
-0.3759664948453608,-0.5739659313063358,0.014471999570446736,no
-0.2343815934894002,-0.2497682495445799,0.0018144559429317793,no
-0.13825,-0.30085,0.0379800225,yes
-0.11125202564644543,-0.20180251136914193,0.00781093355879659,yes
-0.31298830554864393,-0.6023337094483654,0.0192322692211993,yes
-0.144745122718691,-0.26772464858075995,0.02304050532596788,no
0.15732265446224256,0.31341929470384317,0.044277528604118994,no
-0.1694,-0.2967796625909302,0.102700038,yes
-0.1518205024855569,-0.10212910710857517,-0.03392662009046531,yes
0.10797702616464581,-0.06382914123623525,0.05719625781748564,yes
-0.05195785091713282,-0.1950550550312861,0.021312254455574345,no
-0.1164652330874274,-0.05043710999796337,0.07088279809553708,yes
-0.0945890410958904,-0.08835425848719475,-0.0018561143835616439,yes
-0.1780911733778685,-0.4371651928411537,-0.06462193356838003,no
-0.15868148715983135,-0.47430187120709866,-0.007601277117669605,no
-0.08951830058841129,-0.60340534377778,-0.007110936471526877,no
-0.18056052474657125,-0.39801546235248714,0.021484612999403695,yes
0.053128205128205125,-0.32283828971715567,0.038280069743589745,yes
0.16985521649763966,-0.06452637699176053,-0.033873866690759605,yes
